course_id,course_name,category,weekly_hours,has_syllabus_url,has_parsed_syllabus_text,source_board_json,source_repo_json,source_merged_json,source_raw_json,source_syllabus_json,supabase_offered_semesters,supabase_effective_semesters,merged_json_semester,raw_json_semesters,override_semesters,semester_in_any_source,semester_source,effective_semester_value,app_offered_semesters,app_effective_semesters,semester_in_app,merged_prereq_ids,prereq_raw_text_snippet,supabase_prereq_text,prereqs_on_mandatory_board,prereqs_in_repo_elective_pool,prereqs_NOT_in_map_foundational,prereq_only_as_text,schedulability_status,problem_category,problem_hebrew,can_fix_automatically,required_fix
0542-4179,מתקנים לייצור כח וניצול אנרגיה,other_specialization,4,True,False,False,True,False,False,False,,,,,,False,,[],,,False,,,False,,,,False,unschedulable,syllabus_exists_but_not_parsed,"אין מידע על סמסטר, אין syllabus מפורסם, אין JSON מפוענח",False,upstream: scrape course page + parse syllabus
0542-4191,,other_specialization,,False,False,False,True,False,False,False,,,,,,False,,[],,,False,,,False,,,,False,unschedulable,semester_not_in_current_sources,חסרות שעות שבועיות — אין נתוני שעות,False,manual: add weekly_hours to Supabase
0542-4220,תורת התנודות,solids,4,True,True,False,True,True,True,True,"[""A""]",,B,"[""B""]","[""B""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""B""]","[""B""]","[""B""]",True,,,False,,,,False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0542-4221,מבוא לתורת האלסטיות,solids,4,True,True,False,True,True,True,True,"[""B""]",,B,"[""B""]",,True,supabase:offered_semesters,"[""B""]","[""B""]","[""B""]",True,"[""0542-2200""]","מכניקת המוצקים (1) (05422200) דרישות קדם ספציפיות בקורס בהתאם לתוכנית הלימודים הנלמדת, מופיעות בדף ה...",True,,,"[""0542-2200""]",False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0542-4223,מבוא לאלמנטים סופיים,solids,4,True,True,False,True,True,True,True,"[""A""]",,A,"[""A""]",,True,supabase:offered_semesters,"[""A""]","[""A""]","[""A""]",True,"[""0542-2200"", ""0542-4224""]",מכניקת המוצקים (1) (05422200) או מכניקת המוצקים (2) (05424224) דרישות קדם ספציפיות בקורס בהתאם לתוכנ...,True,,"[""0542-4224""]","[""0542-2200""]",False,schedulable_with_prereq_constraint,prerequisite_available_but_not_scheduled,דרישות קדם הן קורסי בחירה במאגר (0542-4224) — חייבות להיות מתוזמנות לפני,False,planner: prereqsSatisfiedForPlacementLocal already handles this ordering
0542-4224,מכניקת המוצקים (2),solids,4,True,True,False,True,True,True,True,"[""B""]",,A,"[""A""]",,True,supabase:offered_semesters,"[""B""]","[""B""]","[""B""]",True,"[""0542-2200""]","מכניקת המוצקים (1) (05422200) דרישות קדם ספציפיות בקורס בהתאם לתוכנית הלימודים הנלמדת, מופיעות בדף ה...",True,,,"[""0542-2200""]",False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0542-4226,יישומי אלמנטים סופיים בתעשייה,other_specialization,3,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,True,,,,True,unschedulable,semester_not_in_current_sources,יש syllabus אך אין מידע על סמסטר בשום מקור,False,upstream: run pipeline to extract semester from scrape/syllabus
0542-4275,אווירודינמיקה של טורבינות רוח,other_specialization,3,True,False,False,True,False,False,False,,,,,,False,,[],,,False,,,False,,,,False,unschedulable,syllabus_exists_but_not_parsed,"אין מידע על סמסטר, אין syllabus מפורסם, אין JSON מפוענח",False,upstream: scrape course page + parse syllabus
0542-4320,מכניקת הזורמים (2),fluids,4,True,True,False,True,False,False,False,"[""B""]",,,,,True,supabase:offered_semesters,"[""B""]","[""B""]","[""B""]",True,,,True,,,,True,schedulable_with_caveat,prerequisites_only_in_text,דרישות קדם קיימות רק כטקסט עברי — לא מפורסמות כ-IDs,False,parse syllabus_prerequisites_he to extract course IDs
0542-4321,הידראוליקה הנדסית,other_specialization,4,False,False,False,True,False,False,False,,,,,,False,,[],,,False,,,False,,,,False,unschedulable,syllabus_exists_but_not_parsed,"אין מידע על סמסטר, אין syllabus מפורסם, אין JSON מפוענח",False,upstream: scrape course page + parse syllabus
